TPM_exon_exp_mean	Gene_name	label	hpa_256_tiss_ntpmtau	gtex_db_tissuegini	Total_utr_3_len	tss_dis	TF_motif_total_exons	rna_motif_total_gene_norm_len_cv	utr3_mirna_count	exon_cs_mean	tss_500bp_cs_median	V_codon_bias_sum	P_codon_bias_max	Y_codon_bias_max	A_codon_bias_median	cds_len	AT_cds_pct	AT_intron_pct	AT_tss_3kb_PTG_pct	GC_tss_4kb_PTG_pct
6.598	KIT	1	0.951	0.494	2159.0	428664.0	5747.0	1.428	2481.0	3.127	0.242	78.0	15.0	26.0	15.0	2931.0	0.551	0.592	0.823	1.185
0.399	KIT	1	0.951	0.494	2159.0	428664.0	5747.0	1.428	2481.0	3.127	0.242	78.0	15.0	26.0	15.0	2931.0	0.551	0.592	0.823	1.185
8.67	LMO2	1	0.614	0.312	781.0	117558.0	3354.0	1.805	1105.0	1.894	0.098	23.0	8.0	2.0	6.0	684.0	0.367	0.543	1.017	0.99
9.491	MYB	1	0.988	0.769	1193.0	126485.0	5569.0	1.884	3228.0	4.008	0.526	39.0	25.0	7.0	10.0	2286.0	0.527	0.607	0.785	1.248
5.355	NOTCH1	1	0.699	0.352	4353.0	62289.0	12871.0	1.628	465.0	3.738	0.016	287.0	46.0	2.0	46.0	5247.0	0.348	0.365	0.907	1.025
7.016	NOTCH1	1	0.699	0.352	4353.0	62289.0	12871.0	1.628	465.0	3.738	0.016	287.0	46.0	2.0	46.0	5247.0	0.348	0.365	0.907	1.025
8.598	PROM1	1	0.929	0.76	1167.0	121203.0	6240.0	1.67	3424.0	1.618	-0.166	59.0	10.0	15.0	11.0	2571.0	0.57	0.57	0.882	1.112
6.621	PTEN	1	0.514	0.327	6459.0	91.0	12808.0	1.711	1180.0	5.124	0.85	24.0	11.0	16.0	4.0	1212.0	0.616	0.645	0.764	1.331
7.513	RUNX1	1	0.93	0.579	4335.0	219697.0	12346.0	1.55	4531.0	3.599	0.45	47.0	5.0	1.0	12.0	1362.0	0.359	0.558	0.714	1.228
8.368	STAT5A	1	0.923	0.443	1275.0	11155.0	5197.0	1.957	3942.0	3.973	0.25	51.0	17.0	14.0	5.0	2385.0	0.413	0.461	0.919	1.042
7.887	STAT5B	1	0.642	0.333	2562.0	82196.0	7679.0	2.406	1327.0	4.324	0.084	76.0	16.0	4.0	8.0	2364.0	0.449	0.571	0.868	1.128
7.696	TGFB1	1	0.873	0.516	730.0	3012.0	8441.0	3.352	627.0	1.848	0.313	45.0	11.0	1.0	10.0	1173.0	0.375	0.491	0.773	1.194
3.732	TGFB1	1	0.873	0.516	730.0	3012.0	8441.0	3.352	627.0	1.848	0.313	45.0	11.0	1.0	10.0	1173.0	0.375	0.491	0.773	1.194
4.275	ZBTB16	1	0.911	0.479	6211.0	84636.0	25397.0	1.562	5592.0	3.967	0.723	30.0	18.0	12.0	7.0	2022.0	0.401	0.527	0.787	1.179
8.258	ALCAM	1	0.921	0.46	2451.0	2931894.0	7766.0	1.362	1501.0	2.891	0.177	42.0	16.0	14.0	8.0	1752.0	0.578	0.648	0.775	1.322
4.529	ALPL	1	0.713	0.736	763.0	69286.0	3173.0	2.136	3565.0	2.645	-0.011	39.0	15.0	16.0	7.0	1575.0	0.405	0.487	0.913	1.038
0.75	B4GALNT1	1	0.747	0.745	0.0	17872.0	14638.0	1.311	7346.0	1.785	-0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.46	1.019	0.901
9.826	CD44	1	0.917	0.564	3070.0	223041.0	7693.0	1.568	12513.0	1.198	0.204	28.0	21.0	7.0	7.0	2229.0	0.514	0.587	0.869	1.155
8.871	ENG	1	0.802	0.518	901.0	51755.0	4585.0	2.731	2249.0	0.874	0.386	47.0	9.0	4.0	11.0	1878.0	0.391	0.477	0.923	1.053
10.034	FN1	1	0.982	0.899	0.0	81631.0	11061.0	2.363	1233.0	3.22	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.609	1.057	0.958
0.711	FZD9	1	0.546	0.587	338.0	105525.0	3109.0	1.901	550.0	3.137	0.155	40.0	28.0	16.0	6.0	1776.0	0.323	0.0	1.001	1.033
7.955	ITGA1	1	0.886	0.612	6759.0	0.0	26663.0	1.436	1752.0	2.871	0.218	90.0	17.0	26.0	16.0	3540.0	0.584	0.633	0.935	1.08
6.412	MCAM	1	0.887	0.695	0.0	112039.0	11688.0	1.565	1291.0	0.991	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.356	0.847	1.127
8.356	NT5E	1	0.909	0.566	1788.0	684985.0	4924.0	1.273	1785.0	2.617	-0.121	44.0	10.0	11.0	6.0	1575.0	0.528	0.571	0.973	1.03
2.555	PDGFB	1	0.788	0.395	1985.0	92302.0	7085.0	1.482	3939.0	1.821	0.532	20.0	7.0	1.0	4.0	726.0	0.377	0.424	0.859	1.095
4.724	SUSD2	1	0.962	0.654	0.0	171159.0	5305.0	1.919	250.0	0.624	-0.447	0.0	0.0	0.0	0.0	0.0	0.0	0.332	1.004	1.004
5.716	THY1	1	0.815	0.655	3933.0	41482.0	13412.0	1.349	11176.0	0.931	0.054	18.0	2.0	0.0	2.0	486.0	0.426	0.442	1.038	0.951
2.52	VCAM1	1	0.985	0.688	0.0	197036.0	4417.0	1.434	991.0	0.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.962	1.216
5.856	ZEB1	1	0.758	0.413	2550.0	289214.0	8326.0	1.254	4512.0	3.974	1.049	65.0	37.0	15.0	10.0	3327.0	0.57	0.644	0.778	1.277
7.996	CDO1	1	0.954	0.538	701.0	190498.0	2035.0	1.933	199.0	3.297	-0.081	17.0	3.0	2.0	2.0	603.0	0.536	0.609	0.851	1.235
7.222	CHD3	1	0.84	0.33	1171.0	30786.0	8771.0	1.967	2846.0	3.921	0.496	88.0	42.0	35.0	33.0	6003.0	0.449	0.498	0.948	1.075
0.426	CYB5R4	1	0.795	0.315	7546.0	6099.0	12052.0	1.632	3174.0	2.492	0.083	36.0	11.0	12.0	4.5	1566.0	0.605	0.628	0.991	1.006
2.291	CYP26B1	1	0.906	0.63	2990.0	694302.0	5991.0	1.24	6801.0	3.296	0.811	46.0	13.0	1.0	18.0	1539.0	0.37	0.39	0.934	1.027
4.56	DAB1	1	0.898	0.724	3368.0	457920.0	10905.0	1.396	2491.0	4.365	0.0	28.0	10.0	6.0	4.0	1668.0	0.491	0.589	0.812	1.19
6.02	ERBB2	1	0.828	0.494	0.0	19346.0	6213.0	2.214	2819.0	2.917	0.126	0.0	0.0	0.0	0.0	0.0	0.0	0.494	0.894	1.068
8.503	FABP7	1	0.584	0.852	1550.0	307842.0	3432.0	2.256	2128.0	2.708	0.253	14.0	3.0	1.0	1.5	501.0	0.573	0.663	0.962	1.083
7.575	FOXG1	1	0.771	0.859	1529.0	2168753.0	21989.0	1.523	169.0	3.032	0.581	14.0	34.0	14.0	1.0	1470.0	0.328	0.0	0.675	1.583
6.83	FOXG1	1	0.771	0.859	1529.0	2168753.0	21989.0	1.523	169.0	3.032	0.581	14.0	34.0	14.0	1.0	1470.0	0.328	0.0	0.675	1.583
1.847	GFAP	1	0.715	0.895	4189.0	15727.0	12523.0	1.347	5909.0	3.183	0.305	40.0	15.0	0.0	5.0	1299.0	0.383	0.45	0.982	1.011
9.574	HES1	1	0.768	0.496	500.0	542940.0	2263.0	2.101	216.0	3.745	0.99	15.0	15.0	3.0	7.0	843.0	0.372	0.414	0.78	1.116
8.353	HES5	1	0.953	0.669	725.0	3667.0	1924.0	1.723	1038.0	1.593	0.675	17.0	4.0	0.0	3.0	501.0	0.297	0.179	0.0	0.0
4.435	ISOC1	1	0.873	0.335	1028.0	129261.0	2740.0	1.524	479.0	3.423	0.133	33.0	6.0	4.0	6.0	897.0	0.466	0.615	0.89	1.166
5.593	MCM5	1	0.944	0.442	0.0	29316.0	5534.0	1.85	707.0	3.57	-0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.479	1.004	1.011
9.286	NES	1	0.875	0.448	560.0	35291.0	9117.0	1.716	414.0	1.578	0.0	64.0	63.0	15.0	19.0	4866.0	0.408	0.415	1.011	0.972
3.762	PDGFC	1	0.949	0.482	2637.0	1017887.0	10695.0	1.511	1512.0	3.098	0.119	23.0	7.0	9.0	2.0	1038.0	0.552	0.641	0.833	1.242
4.22	PPIG	1	0.598	0.239	0.0	10487.0	8361.0	2.309	3262.0	3.914	0.206	0.0	0.0	0.0	0.0	0.0	0.0	0.615	0.902	1.151
-1.538	RLBP1	1	0.404	0.814	417.0	133124.0	2015.0	1.966	418.0	2.688	0.05	23.0	6.0	1.0	4.0	954.0	0.432	0.519	0.998	1.029
8.85	RPS28	1	0.681	0.275	0.0	12857.0	2314.0	1.78	1356.0	0.674	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.429	0.928	0.976
7.336	S100B	1	0.47	0.829	760.0	146192.0	1608.0	1.425	1649.0	1.094	-0.024	10.0	1.0	0.0	1.0	279.0	0.523	0.569	1.048	0.98
7.293	SOX1	1	0.929	0.796	2873.0	750965.0	14629.0	1.588	1029.0	1.079	0.25	14.0	16.0	14.0	2.0	1176.0	0.236	0.0	0.727	1.201
2.801	ASCL1	1	0.353	0.782	1201.0	40429.0	5146.0	2.229	738.0	1.966	0.702	10.0	11.0	5.0	9.5	711.0	0.318	0.535	0.811	1.195
7.426	BCL11B	1	0.952	0.735	4865.0	2407290.0	13985.0	1.831	2712.0	3.223	1.469	107.0	21.0	3.0	28.0	2685.0	0.312	0.492	0.823	1.118
12.224	CD24	1	0.967	0.0	1831.0	345888.0	3212.0	1.228	3823.0	0.518	-0.038	3.0	3.0	0.0	0.5	243.0	0.453	0.462	0.743	1.34
8.183	DCX	1	0.831	0.799	7909.0	140663.0	12786.0	1.365	23364.0	3.813	1.012	37.0	6.0	3.0	3.0	1083.0	0.49	0.608	0.965	1.043
8.152	ENO2	1	0.534	0.657	897.0	10385.0	4393.0	2.813	1354.0	4.166	-0.008	32.0	6.0	7.0	7.0	1305.0	0.448	0.47	0.838	1.126
8.729	FOS	1	0.942	0.55	807.0	102215.0	2958.0	1.411	394.0	3.173	0.558	18.0	15.0	6.0	8.0	1143.0	0.395	0.44	0.6	1.337
6.968	GABBR1	1	0.902	0.433	1306.0	48063.0	8205.0	2.272	3603.0	3.924	0.268	80.0	22.0	2.0	17.0	2886.0	0.439	0.52	0.942	1.019
6.353	GAD2	1	0.892	0.867	3598.0	282545.0	7799.0	1.843	1915.0	4.249	0.085	32.0	9.0	13.0	11.0	1758.0	0.519	0.573	0.81	1.21
9.808	INA	1	0.818	0.829	1678.0	31251.0	4418.0	2.672	670.0	2.868	0.336	19.0	4.0	8.0	9.0	1500.0	0.371	0.557	0.826	1.2
3.671	JAG1	1	0.848	0.564	1815.0	238695.0	9434.0	2.113	606.0	4.644	0.848	158.0	32.0	8.0	21.0	3657.0	0.46	0.53	0.784	1.167
8.998	MAP2	1	0.886	0.739	3722.0	1172817.0	13310.0	1.46	7576.0	3.344	1.196	113.0	65.0	15.0	43.0	5973.0	0.528	0.649	1.006	0.988
7.068	MAPT	1	0.859	0.747	4164.0	49673.0	10522.0	1.858	25744.0	2.515	0.14	44.0	37.0	6.0	8.0	2502.0	0.388	0.507	0.84	1.091
3.757	MSI1	1	0.663	0.6	1799.0	43071.0	5405.0	2.134	1300.0	4.32	0.218	35.0	17.0	1.0	2.0	1089.0	0.39	0.466	0.858	1.057
6.033	MYT1L	1	0.934	0.834	2729.0	582039.0	10503.0	1.25	11054.0	3.972	0.457	130.0	21.0	9.0	22.0	3555.0	0.46	0.554	1.107	0.807
7.099	NCAM1	1	0.656	0.531	3025.0	700386.0	9760.0	1.472	8377.0	3.698	1.104	69.0	25.0	17.0	10.0	2655.0	0.45	0.584	0.831	1.153
0.561	NR2F1	1	0.56	0.542	770.0	2199904.0	21630.0	1.721	277.0	3.838	2.417	22.0	19.0	12.0	8.0	1272.0	0.348	0.543	0.774	1.183
5.773	POU3F2	1	0.625	0.79	3254.0	1551397.0	8081.0	1.886	1085.0	2.322	1.421	17.0	19.0	5.0	6.0	1332.0	0.313	0.0	0.623	1.746
0.885	RBFOX3	1	0.937	0.845	0.0	20099.0	3822.0	1.651	6112.0	3.137	-0.282	0.0	0.0	0.0	0.0	0.0	0.0	0.389	0.986	1.024
8.092	SOX11	1	0.808	0.759	7339.0	1988809.0	24313.0	3.045	1739.0	1.909	0.647	13.0	13.0	10.0	9.5	1326.0	0.32	0.0	0.856	1.169
10.963	TUBB3	1	0.773	0.742	0.0	9928.0	16615.0	1.551	859.0	2.963	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.408	1.167	0.887
6.74	EMD	1	0.695	0.289	0.0	8095.0	1443.0	1.997	823.0	0.534	-0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.342	0.789	1.118
2.745	EYA1	1	0.945	0.759	1830.0	878723.0	11287.0	1.349	6184.0	4.371	0.147	45.0	7.0	7.0	5.5	1779.0	0.531	0.625	0.882	1.142
1.162	EYA2	1	0.814	0.575	712.0	184975.0	4102.0	1.929	2244.0	3.562	0.163	27.0	13.0	20.0	10.0	1527.0	0.441	0.547	1.006	0.984
0.705	GLI2	1	0.854	0.536	1979.0	389732.0	8406.0	1.283	1381.0	3.74	0.406	74.0	80.0	32.0	24.0	4710.0	0.335	0.479	0.945	1.037
4.165	LEMD2	1	0.328	0.255	0.0	35341.0	6032.0	1.944	3003.0	1.674	-0.157	0.0	0.0	0.0	0.0	0.0	0.0	0.464	1.06	0.93
3.698	MAPK12	1	0.952	0.474	0.0	9738.0	11370.0	1.558	1209.0	1.948	-0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.367	0.946	1.02
6.367	MEF2A	1	0.802	0.303	3696.0	314219.0	10619.0	1.635	8659.0	3.787	0.19	26.0	26.0	8.0	7.0	1500.0	0.504	0.634	0.773	1.331
7.392	MEF2C	1	0.971	0.51	5488.0	614336.0	17517.0	1.75	29133.0	5.241	1.208	54.0	7.0	4.0	2.0	1422.0	0.495	0.641	0.964	1.032
6.213	MEF2D	1	0.94	0.334	3919.0	91745.0	8368.0	1.995	7924.0	3.366	0.0	46.0	14.0	1.0	8.0	1566.0	0.379	0.463	0.917	1.033
-4.646	MEOX1	1	0.975	0.683	1522.0	115582.0	3587.0	3.134	4725.0	2.125	1.256	28.0	9.0	1.0	4.0	765.0	0.379	0.485	0.958	1.037
6.364	MET	1	0.95	0.494	2254.0	146665.0	9730.0	1.23	1423.0	3.238	0.359	109.0	28.0	22.0	17.0	4227.0	0.565	0.612	0.925	1.063
10.29	MYF5	1	0.997	0.999	621.0	9278.0	1773.0	1.664	171.0	2.224	0.68	13.0	7.0	5.0	3.0	768.0	0.436	0.558	0.803	1.304
6.261	MYF6	1	0.997	0.989	515.0	263399.0	1673.0	1.379	317.0	2.735	2.172	12.0	10.0	3.0	3.0	729.0	0.431	0.393	1.054	0.952
7.808	MYOD1	1	0.999	0.993	629.0	172198.0	1697.0	1.493	654.0	2.016	0.31	10.0	15.0	6.0	2.0	963.0	0.3	0.404	0.862	1.066
8.575	MYOG	1	0.997	0.985	782.0	59515.0	2282.0	2.925	1025.0	2.364	0.0	23.0	8.0	0.0	5.0	675.0	0.363	0.417	0.0	0.0
4.697	NRG1	1	0.861	0.528	9645.0	605435.0	15143.0	1.624	38079.0	3.793	0.463	35.0	17.0	9.0	7.0	1824.0	0.493	0.621	0.807	1.248
0.723	PAX3	1	0.906	0.827	1522.0	726694.0	6064.0	1.698	3765.0	4.212	0.479	44.0	10.0	4.0	7.0	1455.0	0.426	0.606	0.77	1.381
1.737	PAX7	1	0.936	0.884	3938.0	149916.0	7471.0	1.488	2096.0	4.079	0.266	26.0	18.0	15.0	6.0	1518.0	0.367	0.478	0.913	1.058
5.782	SIX1	1	0.991	0.855	2863.0	140332.0	5744.0	2.747	1238.0	2.559	0.944	34.0	5.0	1.0	5.0	855.0	0.387	0.463	0.801	1.27
7.55	SIX2	1	0.98	0.762	989.0	67751.0	2560.0	1.332	748.0	2.374	1.303	39.0	5.0	0.0	12.0	876.0	0.344	0.437	0.912	1.111
5.377	SMTN	1	0.936	0.702	0.0	118832.0	5475.0	1.298	745.0	1.74	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.414	0.948	1.063
6.513	TCF12	1	0.787	0.292	3710.0	72.0	7721.0	1.967	10575.0	4.562	0.26	25.0	26.0	10.0	7.0	2121.0	0.535	0.631	0.794	1.251
7.231	TEAD4	1	0.966	0.515	199.0	68506.0	1944.0	2.212	1234.0	3.441	0.038	21.0	11.0	10.0	8.0	1305.0	0.411	0.486	0.924	1.051
3.702	AK125558_GM12878	0	0.0	0.0	0.0	34502.0	9336.0	2.542	0.0	-0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.582	0.978	1.048
-10.94	BAI3_GM12878	0	0.854	0.684	3061.0	2928064.0	11075.0	1.363	126.0	5.194	0.546	67.0	19.0	20.0	13.0	3192.0	0.56	0.649	0.882	1.143
-10.94	BC107108_GM12878	0	0.0	0.0	0.0	136738.012	1238.0	1.622	0.0	2.975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.579	0.941	1.119
3.578	C21ORF58_GM12878	0	0.932	0.433	870.0	37417.0	3462.0	2.774	4183.0	0.767	-0.071	26.0	8.0	1.0	2.5	969.0	0.355	0.488	0.925	1.015
-0.888	C2ORF78_GM12878	0	0.999	0.999	156.0	4067.0	3097.0	1.672	18.0	0.623	0.134	51.0	34.0	11.0	17.0	2769.0	0.52	0.575	1.0	0.992
2.247	C9ORF117_GM12878	0	0.985	0.72	2098.0	94740.0	8713.0	2.178	1587.0	1.198	0.014	29.0	10.0	4.0	5.0	1563.0	0.417	0.449	1.142	0.888
-3.064	CCDC178_GM12878	0	0.981	0.757	605.0	667670.0	5465.0	1.35	1715.0	0.749	-0.097	42.0	9.0	24.0	2.0	2604.0	0.642	0.651	0.869	1.173
1.529	CCDC19_GM12878	0	0.986	0.736	120.0	25216.0	2845.0	1.35	169.0	1.949	0.0	23.0	18.0	0.0	2.0	1401.0	0.465	0.548	0.945	1.062
4.433	DCAF10_GM12878	0	0.736	0.266	6157.0	46992.0	22006.0	2.186	5188.0	3.754	0.245	26.0	16.0	7.0	4.0	1680.0	0.474	0.619	0.842	1.203
-4.207	DCAF8L2_GM12878	0	1.0	1.0	0.0	127041.0	5930.0	1.376	702.0	0.625	0.227	43.0	10.0	8.0	6.0	1896.0	0.493	0.645	0.951	1.065
-10.94	DNAJB8_GM12878	0	1.0	0.999	109.0	313488.0	6833.0	1.971	128.0	0.167	-0.354	28.0	7.0	0.0	4.0	699.0	0.402	0.525	1.191	0.948
4.117	EXPH5_GM12878	0	0.978	0.786	4103.0	102264.0	12649.0	1.925	6271.0	1.189	0.163	113.0	47.0	22.0	7.0	5970.0	0.576	0.585	0.944	1.035
-10.94	FAM5C_GM12878	0	0.678	0.709	361.0	3648916.0	5570.0	1.438	85.0	4.217	0.0	65.0	16.0	8.0	11.0	2301.0	0.534	0.669	0.875	1.196
1.759	GDPGP1_GM12878	0	0.664	0.252	3746.0	63.0	16240.0	3.525	2148.0	0.141	0.067	27.0	14.0	4.0	10.0	1158.0	0.413	0.54	0.893	1.097
5.381	GFOD1_GM12878	0	0.724	0.402	6914.0	159045.0	12095.0	1.74	10114.0	0.96	0.193	43.0	6.0	0.0	13.0	1173.0	0.358	0.555	0.827	1.166
-0.969	HP09025_GM12878	0	0.0	0.0	0.0	606855.0	7532.0	2.369	0.0	-0.542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.346	0.806	1.105
7.872	IGJ_GM12878	0	0.981	0.909	789.0	37765.0	2909.0	2.339	595.0	1.714	0.331	15.0	3.0	1.0	1.0	480.0	0.562	0.63	1.037	0.975
-10.94	KDM5D_GM12878	0	0.91	0.412	2131.0	971011.0	10352.0	1.577	1538.0	2.285	-0.116	103.0	25.0	10.0	23.0	4620.0	0.472	0.632	1.04	0.959
6.683	KIAA1432_GM12878	0	0.696	0.337	2312.0	118576.0	15678.0	1.661	1254.0	4.32	0.228	88.0	29.0	19.0	28.0	4272.0	0.537	0.628	0.84	1.215
-10.94	LINC00479_GM12878	0	0.0	0.0	0.0	208075.0	3666.0	1.811	0.0	-0.146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.485	1.009	1.248
-3.081	LOC646862_GM12878	0	0.989	0.932	0.0	2600.0	2110.0	2.439	0.0	-0.209	-0.586	15.0	25.0	2.0	3.0	990.0	0.24	0.0	0.973	1.036
5.775	MAK16_GM12878	0	0.58	0.249	2634.0	12035.0	8209.0	3.138	1749.0	3.716	-0.24	10.0	5.0	6.0	3.0	903.0	0.558	0.597	0.873	1.18
5.309	MANBAL_GM12878	0	0.19	0.277	846.0	35081.0	2277.0	1.511	5382.0	0.877	0.322	6.0	7.0	1.0	2.0	258.0	0.426	0.52	1.107	0.895
4.935	PPP6R2_GM12878	0	0.631	0.225	844.0	16314.0	5760.0	3.265	4425.0	2.738	-0.166	58.0	24.0	4.0	17.0	2880.0	0.4	0.492	0.779	1.184
5.21	PRKRIR_GM12878	0	0.568	0.255	0.0	153071.0	7368.0	1.965	268.0	1.298	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.581	1.072	0.91
5.432	PTAR1_GM12878	0	0.764	0.266	8818.0	87640.0	11415.0	1.695	5928.0	3.528	0.03	32.0	11.0	5.0	4.0	1209.0	0.536	0.638	0.892	1.194
1.814	RBSG2_GM12878	0	0.0	0.0	0.0	13792.0	2369.0	2.103	0.0	-0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.587	RNF26_GM12878	0	0.434	0.276	886.0	16149.0	5397.0	1.987	917.0	1.323	0.14	40.0	7.0	5.0	8.0	1302.0	0.392	0.0	1.079	0.906
3.399	SCAND1_GM12878	0	0.579	0.157	117.0	187458.0	3194.0	1.248	390.0	0.161	0.188	4.0	8.0	1.0	3.0	540.0	0.294	0.589	1.256	0.724
4.596	STARD3_GM12878	0	0.482	0.237	0.0	25773.0	4907.0	1.85	3153.0	2.001	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.395	1.079	0.937
2.927	ZNF440_GM12878	0	0.84	0.363	2253.0	15750.0	4904.0	2.345	1557.0	-0.142	-0.096	29.0	14.0	22.0	5.0	1788.0	0.586	0.554	0.883	1.133
0.66	ZNF793_GM12878	0	0.571	0.395	5455.0	37583.0	8880.0	2.419	5190.0	0.512	0.056	16.0	7.0	9.0	5.5	1221.0	0.543	0.564	0.971	1.044
0.127	C10ORF35_HUVEC	0	0.521	0.602	538.0	56824.0	1658.0	2.321	763.0	0.79	-0.038	10.0	4.0	1.0	1.5	366.0	0.385	0.431	0.811	0.937
0.528	C10ORF35_MSC	0	0.521	0.602	538.0	56824.0	1658.0	2.321	763.0	0.79	-0.038	10.0	4.0	1.0	1.5	366.0	0.385	0.431	0.811	0.937
6.208	C11ORF73_HUVEC	0	0.402	0.226	872.0	38266.0	2453.0	2.033	339.0	2.743	0.062	20.0	6.0	4.0	3.0	585.0	0.576	0.621	0.963	1.084
-0.49	C1ORF228_HUVEC	0	0.887	0.503	1020.0	257.0	2842.0	3.023	1812.0	1.138	0.0	16.0	5.0	4.0	3.0	807.0	0.502	0.529	0.943	1.07
-9.31	C21ORF54_HUVEC	0	0.0	0.0	0.0	100509.0	1748.0	2.63	0.0	-0.258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.509	1.006	1.006
-9.31	CCDC73_HUVEC	0	0.994	0.804	3628.0	210780.0	4631.0	1.827	456.0	1.935	-0.136	4.0	2.0	3.0	0.5	477.0	0.652	0.625	0.905	1.118
-9.31	CDH7_HUVEC	0	0.912	0.902	9444.0	1780983.0	16071.0	1.609	4636.0	3.318	0.185	56.0	14.0	17.0	11.0	2358.0	0.532	0.65	0.85	1.208
2.225	CRYBG3_HUVEC	0	0.757	0.385	1671.0	57253.0	19975.0	1.325	357.0	2.415	0.018	171.0	67.0	39.0	32.0	8913.0	0.595	0.632	0.871	1.183
1.994	DCP2_HUVEC	0	0.766	0.297	8712.0	54570.0	11319.0	2.512	6457.0	3.819	-0.024	15.0	11.0	6.0	4.5	1263.0	0.589	0.621	0.895	1.127
4.046	DKFZP434K1323_HUVEC	0	0.428	0.271	333.0	177858.907	3493.0	1.105	442.0	2.459	-0.098	36.0	9.0	6.0	8.0	1398.0	0.383	0.468	1.188	0.822
3.157	FAM122A_HUVEC	0	0.652	0.235	4539.0	37810.0	15345.0	1.296	1931.0	0.765	0.586	13.0	10.0	1.0	3.0	864.0	0.434	0.0	0.933	1.088
1.198	FAM222A_HUVEC	0	0.679	0.641	1208.0	125964.0	7524.0	1.942	1786.0	1.621	0.264	25.0	29.0	15.0	8.0	1359.0	0.321	0.48	0.841	1.11
4.626	FAM24B_HUVEC	0	0.674	0.352	170.0	23808.0	1540.0	1.161	29.0	-0.11	-0.185	8.0	2.0	3.0	1.0	285.0	0.491	0.592	0.939	1.061
-4.136	GUCY1B2_HUVEC	0	0.0	0.0	0.0	156227.0	5875.0	1.636	0.0	1.886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.572	0.956	1.022
-0.14	LOC653653_HUVEC	0	0.0	0.0	0.0	23998.0	1711.0	0.0	0.0	1.151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.763	LONP2_HUVEC	0	0.774	0.218	5548.0	97529.0	13267.0	1.972	4714.0	4.208	0.286	61.0	18.0	9.0	15.0	2559.0	0.515	0.607	0.926	1.107
3.473	LYPLAL1_HUVEC	0	0.825	0.185	0.0	828560.0	4087.0	1.454	1843.0	1.945	-0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.663	0.905	1.207
5.089	NPIPL3_HUVEC	0	0.464	0.26	48.0	127074.0	1742.0	6.479	0.0	-0.425	-0.038	10.0	17.0	1.0	1.5	1263.0	0.42	0.42	0.988	0.0
-1.066	NPIPL3_neural	0	0.464	0.26	48.0	127074.0	1742.0	6.479	0.0	-0.425	-0.038	10.0	17.0	1.0	1.5	1263.0	0.42	0.42	0.988	0.0
-9.31	OXGR1_HUVEC	0	0.836	0.552	1034.0	904370.0	3159.0	1.35	972.0	0.055	-0.222	30.0	4.0	5.0	3.0	1014.0	0.554	0.575	0.939	1.087
0.139	RNF224_HUVEC	0	0.957	0.549	555.0	2867.0	1577.0	2.441	233.0	-0.327	-0.629	4.0	14.0	2.0	3.0	471.0	0.304	0.34	1.058	0.977
-9.31	SPAG11A_HUVEC	0	0.0	0.0	294.0	11440.0	1166.0	1.485	956.0	-0.14	-0.192	7.0	3.0	3.0	1.5	342.0	0.488	0.505	1.021	0.938
3.537	TRMT12_HUVEC	0	0.577	0.21	753.0	78118.0	2718.0	2.083	489.0	1.318	0.221	41.0	8.0	6.0	10.0	1347.0	0.486	0.0	0.994	1.004
-9.31	VCX3B_HUVEC	0	0.99	0.897	128.0	293562.0	1543.0	3.547	128.0	-0.32	0.274	15.0	16.0	0.0	4.0	741.0	0.389	0.435	1.265	1.037
3.226	ZNF841_HUVEC	0	0.716	0.356	643.0	46927.0	8008.0	1.982	2787.0	-0.109	-0.318	63.0	15.0	11.0	4.0	2775.0	0.592	0.592	0.898	1.134
4.996	ZSWIM4_HUVEC	0	0.646	0.383	1181.0	21004.0	7793.0	3.41	1839.0	3.47	0.49	52.0	30.0	18.0	9.0	2970.0	0.344	0.478	0.965	0.996
3.014	APOL6_HMEC	0	0.902	0.439	8809.0	25091.0	12996.0	1.555	3202.0	-0.249	-0.216	21.0	3.0	5.0	8.0	1032.0	0.48	0.571	0.863	1.18
