TPM_exon_exp_mean	Gene_name	label	mca3gini	mtdtau_log	mtdroku_specificity_log	Total_utr_5_len	tss_dis	TF_motif_meanexon	TF_motif_cv_tss_3kb	TF_motif_totaltss_2kb_norm_GL	utr5_mirna_count	exon_avg_CS_median	R_codon_bias_median_trans	AT_transcript_pct	GC_intron_pct	AT_intron_pct	GC_tss_2kb_pct
3.934	Cd320	1	0.421	0.384	0.066	81.0	18519.0	0.326	1.828	0.066	241.0	0.23	9.0	0.502	0.491	0.509	0.484
3.465	Bmi1	1	0.344	0.348	0.05	473.0	4634.0	0.752	3.833	0.129	641.0	2.98	33.0	0.576	0.436	0.564	0.546
1.762	Hr	1	0.69	0.558	0.053	697.0	8702.0	0.96	2.625	0.022	707.0	0.97	29.0	0.461	0.514	0.486	0.615
1.707	Stat3	1	0.35	0.259	0.085	174.0	80054.0	1.019	4.216	0.013	964.0	2.8	48.0	0.535	0.457	0.543	0.482
3.231	Stat3	1	0.35	0.259	0.085	174.0	80054.0	1.019	4.216	0.013	964.0	2.8	48.0	0.535	0.457	0.543	0.482
3.355	Il7r	1	0.685	0.8	0.0	94.0	93808.0	0.578	3.281	0.023	288.0	0.74	13.0	0.623	0.373	0.627	0.416
7.392	Nr0b1	1	0.934	0.681	0.0	38.0	147565.0	0.314	3.5	0.207	20.0	0.61	10.0	0.538	0.393	0.607	0.491
5.36	Chd3	1	0.29	0.356	0.125	16.0	28946.0	1.116	3.961	0.024	239.0	2.56	64.0	0.468	0.52	0.48	0.55
0.324	Alcam	1	0.532	0.562	0.142	1610.0	422850.0	1.45	4.521	0.006	1541.0	1.71	127.0	0.62	0.378	0.622	0.487
8.247	Fos	1	0.441	0.542	0.106	151.0	99042.0	0.384	2.966	0.141	142.0	1.8	11.0	0.469	0.552	0.448	0.567
0.302	Smad1	1	0.372	0.325	0.121	449.0	104581.0	0.466	4.736	0.013	202.0	2.09	93.0	0.541	0.457	0.543	0.515
9.704	Krt8	1	0.749	0.488	0.161	244.0	50195.0	0.212	3.909	0.062	169.0	1.63	17.0	0.459	0.53	0.47	0.551
0.122	Six2	1	0.882	0.641	0.0	323.0	74667.0	0.302	2.151	0.077	117.0	1.04	28.0	0.426	0.531	0.469	0.591
8.443	S1pr1	1	0.547	0.457	0.108	537.0	810995.0	0.449	2.707	0.096	599.0	0.56	11.0	0.53	0.436	0.564	0.482
1.308	Pten	1	0.325	0.278	0.12	949.0	17710.0	1.898	4.271	0.014	706.0	2.79	58.0	0.619	0.377	0.623	0.576
9.583	Egfl7	1	0.616	0.343	0.079	322.0	77233.0	0.302	2.149	0.027	1166.0	0.43	23.0	0.44	0.557	0.443	0.541
-1.183	Dab1	1	0.745	0.602	0.09	452.0	305853.0	0.151	4.063	0.001	1624.0	2.07	733.0	0.574	0.426	0.574	0.522
2.104	Stat5b	1	0.386	0.433	0.143	338.0	79767.0	0.862	4.063	0.011	276.0	2.62	94.0	0.539	0.454	0.546	0.542
6.608	Cd34	1	0.68	0.457	0.061	148.0	318994.0	0.452	2.456	0.021	272.0	0.38	8.0	0.589	0.4	0.6	0.448
0.877	Mga	1	0.262	0.503	0.08	188.0	99495.0	17.237	1.992	0.091	771.0	1.46	48.0	0.618	0.374	0.626	0.438
5.231	Nr2f1	1	0.689	0.532	0.082	1185.0	174856.0	0.922	5.329	0.092	237.0	2.25	32.0	0.512	0.44	0.56	0.581
6.94	Foxg1	1	0.954	0.359	0.0	1604.0	2563953.0	1.468	4.912	0.171	1027.0	1.46	19.0	0.418	0.0	0.0	0.544
5.933	Foxg1	1	0.954	0.359	0.0	1604.0	2563953.0	1.468	4.912	0.171	1027.0	1.46	19.0	0.418	0.0	0.0	0.544
3.632	Foxc2	1	0.762	0.783	0.184	445.0	7852.0	0.84	1.77	0.385	258.0	0.92	4.0	0.38	0.0	0.0	0.59
8.051	Sox11	1	0.806	0.87	0.433	167.0	873371.0	2.018	4.069	0.085	209.0	1.06	23.0	0.535	0.0	0.0	0.579
8.961	Cd19	1	0.797	0.832	0.0	54.0	18152.0	0.416	2.072	0.073	1849.0	0.71	8.0	0.482	0.504	0.496	0.503
8.164	Zfp42	1	0.991	0.326	0.0	380.0	126440.0	0.28	3.214	0.043	577.0	0.08	17.0	0.568	0.426	0.574	0.447
4.751	Gata2	1	0.622	0.649	0.062	156.0	109409.0	0.588	1.992	0.034	250.0	1.94	48.0	0.435	0.564	0.436	0.548
8.788	Sox2	1	0.902	0.73	0.0	12.0	569092.0	0.273	2.551	0.171	270.0	2.23	15.0	0.495	0.0	0.0	0.553
7.705	Sox2	1	0.902	0.73	0.0	12.0	569092.0	0.273	2.551	0.171	270.0	2.23	15.0	0.495	0.0	0.0	0.553
-2.747	Hoxb4	1	0.526	0.522	0.0	504.0	14931.0	0.659	3.379	0.206	654.0	1.07	16.0	0.458	0.515	0.485	0.524
4.721	Sox1	1	0.962	0.492	0.0	1067.0	116476.0	1.3	3.819	0.113	372.0	0.38	26.0	0.431	0.0	0.0	0.58
6.33	Gas6	1	0.62	0.415	0.107	152.0	59302.0	0.542	3.0	0.019	129.0	0.8	43.0	0.487	0.508	0.492	0.538
3.731	Smtn	1	0.556	0.464	0.098	246.0	24609.0	1.372	2.363	0.063	2544.0	1.21	45.0	0.454	0.536	0.464	0.509
8.311	Gdf3	1	0.691	0.53	0.0	122.0	7643.0	0.321	2.402	0.128	173.0	0.36	7.0	0.519	0.469	0.531	0.474
4.858	Pou3f2	1	0.946	0.568	0.0	236.0	130824.0	1.392	3.722	0.15	190.0	1.16	21.0	0.556	0.0	0.0	0.596
10.07	Krt5	1	0.926	0.545	0.0	89.0	18591.0	0.277	1.705	0.052	124.0	1.87	7.0	0.478	0.493	0.507	0.535
1.031	Myt1l	1	0.898	0.771	0.0	911.0	776581.0	1.17	2.124	0.001	2014.0	2.34	259.0	0.561	0.439	0.561	0.424
10.737	Krt14	1	0.927	0.651	0.0	94.0	14302.0	0.189	1.96	0.073	291.0	1.42	9.0	0.475	0.495	0.505	0.534
5.216	Mapt	1	0.845	0.698	0.171	233.0	45063.0	1.031	3.25	0.004	760.0	1.54	122.0	0.507	0.491	0.509	0.566
3.736	Foxd3	1	0.768	0.688	0.0	327.0	360399.0	0.537	2.334	0.081	197.0	0.98	13.0	0.349	0.0	0.0	0.608
3.005	Mapk12	1	0.527	0.574	0.081	0.0	11952.0	0.241	2.518	0.045	268.0	2.1	17.0	0.48	0.51	0.49	0.551
3.542	Fzd9	1	0.922	0.777	0.204	202.0	63967.0	0.38	1.992	0.113	5.0	1.41	13.0	0.378	0.0	0.0	0.577
1.756	Pax5	1	0.765	0.657	0.0	80.0	409612.0	1.36	3.624	0.002	35.0	2.44	217.0	0.509	0.49	0.51	0.497
8.199	S100a4	1	0.536	0.551	0.0	53.0	1867.0	0.141	1.929	0.656	157.0	0.93	3.0	0.515	0.483	0.517	0.511
1.712	Tead4	1	0.666	0.649	0.078	571.0	157250.0	0.344	2.099	0.007	750.0	2.12	66.0	0.511	0.485	0.515	0.537
11.174	Hes5	1	0.886	0.737	0.0	74.0	32370.0	0.201	2.327	0.189	91.0	0.89	6.0	0.36	0.773	0.227	0.593
8.401	Pou5f1	1	0.99	0.388	0.0	83.0	35929.0	0.17	2.288	0.09	84.0	1.55	9.0	0.47	0.511	0.489	0.546
-1.466	Cdsn	1	0.792	0.769	0.0	74.0	18927.0	0.407	2.723	0.138	56.0	0.56	7.0	0.462	0.497	0.503	0.525
4.228	Gabbr1	1	0.451	0.485	0.096	325.0	22567.0	0.821	4.551	0.018	1193.0	2.45	40.0	0.512	0.479	0.521	0.557
-3.867	Itga1	1	0.512	0.59	0.097	434.0	340.0	1.909	1.983	0.006	414.0	1.53	137.0	0.592	0.406	0.594	0.484
5.637	Tnf	1	0.489	0.69	0.0	168.0	7569.0	0.283	2.283	0.269	415.0	0.64	4.0	0.477	0.526	0.474	0.538
3.587	Twist2	1	0.791	0.588	0.0	167.0	260747.0	0.209	2.038	0.008	127.0	1.12	55.0	0.509	0.489	0.511	0.579
10.087	Rps28	1	0.127	0.216	0.092	21.0	13973.0	0.172	1.869	0.197	402.0	2.17	8.0	0.517	0.476	0.524	0.48
5.263	Tnfrsf13b	1	0.62	0.0	0.0	78.0	104191.0	0.361	3.426	0.024	189.0	0.24	30.0	0.537	0.458	0.542	0.459
12.061	Mif	1	0.31	0.277	0.096	73.0	22873.0	0.084	3.306	0.256	199.0	0.96	4.0	0.377	0.663	0.337	0.529
9.727	Tubb3	1	0.855	0.699	0.064	183.0	4317.0	0.475	2.238	0.213	100.0	2.5	18.0	0.495	0.489	0.511	0.548
-0.021	Itgb3	1	0.458	0.663	0.082	90.0	57337.0	0.967	1.863	0.008	55.0	1.77	76.0	0.527	0.468	0.532	0.494
5.01	Pecam1	1	0.57	0.356	0.054	620.0	137698.0	0.487	1.892	0.01	1032.0	0.63	87.0	0.53	0.469	0.531	0.436
1.72	Kmt2b	1	0.256	0.0	0.0	10.0	23300.0	1.12	1.877	0.03	133.0	1.9	41.0	0.454	0.513	0.487	0.6
10.289	Cd24a	1	0.363	0.342	0.126	86.0	38200.0	0.324	1.809	0.102	130.0	0.64	13.0	0.533	0.488	0.512	0.544
5.181	Las1l	0	0.243	0.372	0.077	66.0	245236.0	1.048	2.192	0.095	434.0	1.11	16.0	0.552	0.44	0.56	0.442
3.286	Zswim7	0	0.375	0.317	0.067	44.0	32392.0	0.087	2.639	0.039	98.0	1.03	17.0	0.551	0.444	0.556	0.493
0.338	Zswim4	0	0.379	0.388	0.094	52.0	51838.0	0.687	2.451	0.017	9.0	1.7	33.0	0.486	0.499	0.501	0.518
-10.002	Zfy1	0	0.994	0.096	0.0	231.0	526625.971	0.449	2.746	0.01	317.0	0.76	36.0	0.619	0.38	0.62	0.389
-2.747	Zfr2	0	0.497	0.544	0.105	36.0	2321.0	0.435	1.843	0.032	30.0	0.49	26.0	0.438	0.549	0.451	0.533
-2.518	Zfp786	0	0.566	0.592	0.089	455.0	17437.0	0.519	2.227	0.029	70.0	0.45	14.0	0.547	0.425	0.575	0.448
-0.927	Zfp78	0	0.356	0.775	0.167	120.0	19621.0	0.561	4.338	0.021	1227.0	0.25	16.0	0.565	0.436	0.564	0.479
-0.651	Zfp78	0	0.356	0.775	0.167	120.0	19621.0	0.561	4.338	0.021	1227.0	0.25	16.0	0.565	0.436	0.564	0.479
-0.776	Zfp738	0	0.254	0.59	0.066	30.0	45676.0	2.003	2.493	0.017	82.0	0.08	13.0	0.609	0.391	0.609	0.401
-0.515	Zfp729a	0	0.327	0.0	0.0	110.0	22.0	2.891	1.898	0.04	129.0	0.28	14.0	0.598	0.406	0.594	0.425
-4.97	Zfp708	0	0.0	0.0	0.0	143.0	36806.0	0.608	1.809	0.074	578.0	0.12	13.0	0.598	0.405	0.595	0.406
2.429	Zfp445	0	0.294	0.399	0.047	217.0	18458.0	0.129	2.601	0.017	151.0	0.46	18.0	0.574	0.421	0.579	0.42
-4.97	Zfp433	0	0.599	0.647	0.0	74.0	55766.0	0.215	1.829	0.025	875.0	0.25	21.0	0.584	0.422	0.578	0.443
-2.767	Zfp286	0	0.528	0.717	0.076	153.0	36322.0	0.284	2.218	0.012	1249.0	0.65	35.0	0.579	0.419	0.581	0.46
1.936	Zfp189	0	0.33	0.521	0.104	218.0	82.0	0.367	2.301	0.098	1097.0	0.98	12.0	0.588	0.402	0.598	0.457
-5.847	Zdhhc11	0	0.996	0.0	0.0	71.0	26040.0	0.242	1.996	0.011	42.0	0.11	18.0	0.55	0.449	0.551	0.474
2.531	Zc2hc1a	0	0.356	0.585	0.069	30.0	136813.0	0.595	3.171	0.01	160.0	1.41	32.0	0.619	0.381	0.619	0.448
-5.643	Wfdc8	0	0.0	0.0	0.0	405.0	105.0	0.154	1.838	0.051	2112.0	0.07	21.0	0.523	0.475	0.525	0.498
-9.056	Wfdc5	0	0.929	0.421	0.0	90.0	11629.0	0.331	2.838	0.064	93.0	0.36	7.0	0.492	0.514	0.486	0.521
-7.99	Wfdc5	0	0.929	0.421	0.0	90.0	11629.0	0.331	2.838	0.064	93.0	0.36	7.0	0.492	0.514	0.486	0.521
-5.873	Wfdc11	0	0.0	0.0	0.0	228.0	17504.0	0.138	2.066	0.044	443.0	-0.02	10.0	0.553	0.446	0.554	0.424
5.57	Wdr12	0	0.381	0.513	0.116	362.0	54786.0	1.865	3.226	0.059	1353.0	2.05	20.0	0.604	0.391	0.609	0.45
4.766	Washc1	0	0.102	0.0	0.0	112.0	9985.0	0.389	1.963	0.068	214.0	1.21	20.0	0.474	0.506	0.494	0.48
4.422	Vcpkmt	0	0.215	0.0	0.0	125.0	210961.0	0.231	2.013	0.147	51.0	1.46	11.0	0.562	0.417	0.583	0.424
0.784	Utp25	0	0.0	0.0	0.0	123.0	94497.0	1.21	2.364	0.021	45.0	1.16	33.0	0.537	0.456	0.544	0.457
4.128	Utp23	0	0.281	0.424	0.099	95.0	11905.0	0.527	1.926	0.108	86.0	1.1	8.0	0.566	0.423	0.577	0.434
-9.831	Usp17la	0	0.993	0.172	0.0	180.0	14405.0	0.54	3.196	0.12	105.0	-0.28	4.5	0.547	0.434	0.566	0.403
-5.847	Upk3b	0	0.846	0.562	0.0	307.0	43696.0	0.778	1.89	0.084	419.0	0.54	12.0	0.476	0.511	0.489	0.507
-5.847	Ugt2a2	0	0.0	0.0	0.0	52.0	58055.0	1.345	2.799	0.094	24.0	1.13	10.0	0.636	0.36	0.64	0.328
-2.71	Tsga10ip	0	0.975	0.0	0.0	0.0	13823.0	0.253	3.559	0.026	138.0	0.53	14.0	0.51	0.477	0.523	0.481
1.584	Trpc4ap	0	0.21	0.225	0.283	79.0	81173.0	0.559	3.018	0.012	93.0	2.39	59.0	0.55	0.445	0.555	0.484
2.535	Trmt12	0	0.244	0.321	0.04	82.0	49143.0	0.646	1.824	0.068	57.0	0.2	11.0	0.545	0.0	0.0	0.454
3.479	Trmt10b	0	0.254	0.471	0.045	99.0	112221.0	0.301	2.025	0.026	55.0	1.11	25.0	0.552	0.447	0.553	0.442
8.518	Trir	0	0.0	0.0	0.0	77.0	1541.0	0.076	2.135	0.151	70.0	1.71	9.0	0.472	0.504	0.496	0.516
1.197	Trip4	0	0.151	0.368	0.046	965.0	18558.0	1.354	2.907	0.016	1670.0	1.22	49.0	0.587	0.412	0.588	0.458
3.51	Toe1	0	0.176	0.423	0.084	30.0	86580.0	0.185	2.121	0.088	54.0	1.16	17.0	0.531	0.463	0.537	0.499
1.76	Tmem168	0	0.256	0.355	0.091	395.0	383135.0	2.769	3.911	0.108	758.0	1.49	25.0	0.609	0.389	0.611	0.466
0.854	Tmem151a	0	0.78	0.764	0.113	116.0	17410.0	0.086	3.348	0.037	39.0	0.26	28.0	0.481	0.514	0.486	0.533
5.935	Timm22	0	0.223	0.291	0.112	63.0	8002.0	0.393	3.281	0.093	119.0	1.82	12.0	0.534	0.453	0.547	0.474
6.549	Thoc3	0	0.233	0.352	0.147	43.0	97501.0	0.405	2.907	0.057	27.0	2.59	13.0	0.538	0.443	0.557	0.481
3.569	Thap12	0	0.298	0.0	0.0	288.0	46323.0	0.707	3.313	0.044	157.0	1.96	22.0	0.585	0.399	0.601	0.5
3.74	Tedc2	0	0.0	0.0	0.0	51.0	11259.0	0.302	2.023	0.077	105.0	0.2	11.0	0.488	0.502	0.498	0.509
-5.847	Tcp11x2	0	0.987	0.0	0.0	71.0	66085.0	0.339	2.788	0.014	90.0	0.45	8.0	0.553	0.448	0.552	0.394
5.664	Tcim	0	0.0	0.0	0.0	89.0	769327.0	0.268	2.832	0.194	55.0	0.32	2.0	0.567	0.0	0.0	0.425
8.094	Tbcc	0	0.205	0.382	0.116	7.0	59270.0	0.088	3.428	0.099	126.0	0.87	3.0	0.387	0.0	0.0	0.548
0.338	Tbc1d22b	0	0.235	0.266	0.166	155.0	146.0	0.865	2.069	0.047	98.0	2.68	73.0	0.502	0.495	0.505	0.493
1.26	Tasor	0	0.0	0.0	0.0	236.0	313935.0	1.927	4.421	0.021	203.0	1.63	33.0	0.636	0.359	0.641	0.481
-0.786	Tafa5	0	0.0	0.0	0.0	194.0	1329840.0	0.497	2.499	0.002	213.0	1.75	218.0	0.509	0.49	0.51	0.584
1.511	Stard5	0	0.262	0.46	0.122	42.0	47069.0	0.726	2.642	0.023	37.0	0.8	16.0	0.52	0.476	0.524	0.472
2.756	Stard3	0	0.17	0.294	0.055	194.0	9964.0	0.307	1.721	0.033	244.0	1.77	26.0	0.471	0.524	0.476	0.524
3.465	Srpr	0	0.288	0.237	0.164	0.0	3843.0	0.141	2.209	0.013	108.0	2.43	22.0	0.588	0.41	0.59	0.472
-7.99	Spata31	0	1.0	0.344	0.0	78.0	13450.0	0.477	3.082	0.072	98.0	-0.1	4.0	0.569	0.418	0.582	0.407
-1.035	Spag11b	0	0.95	0.278	0.0	40.0	17007.0	0.604	1.887	0.39	191.0	-0.05	7.5	0.562	0.43	0.57	0.433
-0.434	Snx13	0	0.331	0.38	0.068	212.0	62425.0	1.202	3.762	0.008	236.0	2.68	52.0	0.628	0.37	0.63	0.49
6.95	Snrpa1	0	0.271	0.441	0.097	0.0	15401.0	0.137	1.497	0.106	340.0	1.95	18.0	0.559	0.44	0.56	0.491
-4.742	Slfnl1	0	0.999	0.904	0.0	390.0	126924.0	0.197	1.809	0.055	481.0	0.56	4.0	0.462	0.506	0.494	0.522
-7.99	Slfn14	0	0.8	0.0	0.0	130.0	95397.0	0.484	2.566	0.046	120.0	0.48	13.0	0.558	0.432	0.568	0.426
3.164	Slc4a2	0	0.233	0.411	0.17	269.0	1701.0	0.582	2.799	0.028	666.0	1.97	30.0	0.457	0.525	0.475	0.583
1.24	Slc35e2	0	0.267	0.462	0.061	484.0	39038.0	2.303	3.194	0.032	819.0	1.63	25.0	0.545	0.454	0.546	0.48
3.006	Slc25a10	0	0.384	0.439	0.065	148.0	7227.0	0.236	1.576	0.102	98.0	1.79	19.0	0.441	0.541	0.459	0.532
6.038	Sf3a3	0	0.237	0.388	0.061	120.0	14056.0	0.191	2.938	0.024	35.0	2.84	19.0	0.529	0.468	0.532	0.481
2.447	Sdr42e1	0	0.543	0.659	0.117	118.0	175399.0	0.277	2.301	0.03	420.0	0.23	16.0	0.524	0.467	0.533	0.458
10.512	Scand1	0	0.195	0.314	0.044	302.0	449.0	0.335	2.949	1.26	224.0	0.06	6.5	0.32	0.707	0.293	0.498
0.184	S100a7a	0	0.767	0.56	0.0	112.0	40542.0	0.211	2.248	0.078	266.0	0.08	6.0	0.515	0.479	0.521	0.472
3.483	Rrnad1	0	0.189	0.304	0.131	0.0	10622.0	1.742	1.72	0.412	872.0	0.93	9.0	0.518	0.458	0.542	0.494
2.271	Rnf26	0	0.271	0.358	0.078	569.0	17.0	0.737	2.32	0.035	73.0	0.34	26.0	0.462	0.531	0.469	0.534
-1.852	Rnf225	0	0.455	0.0	0.0	64.0	5126.0	0.581	1.436	0.162	35.0	-0.02	11.0	0.478	0.464	0.536	0.534
-13.317	Rnf224	0	0.779	0.0	0.0	159.0	2423.0	0.287	2.003	0.154	133.0	0.1	3.5	0.463	0.546	0.454	0.528
3.766	Riok3	0	0.114	0.297	0.092	171.0	7272.0	0.679	1.905	0.019	102.0	2.34	32.0	0.563	0.437	0.563	0.452
-0.674	Ric1	0	0.305	0.0	0.0	242.0	111363.0	1.726	4.433	0.013	136.0	2.16	52.0	0.608	0.386	0.614	0.522
-0.312	Rec114	0	0.576	0.0	0.0	18.0	159268.0	0.167	2.126	0.006	21.0	0.68	82.0	0.561	0.438	0.562	0.45
2.313	Rbm12	0	0.0	0.0	0.0	277.0	13.0	14.735	2.98	0.658	1354.0	1.78	22.0	0.591	0.403	0.597	0.458
2.363	Ranbp3	0	0.168	0.217	0.157	33.0	45207.0	0.353	2.9	0.021	432.0	1.69	45.0	0.484	0.512	0.488	0.536
-0.212	Ralgapb	0	0.327	0.186	0.143	288.0	34210.0	1.503	2.834	0.007	891.0	2.47	57.0	0.601	0.392	0.608	0.493
-6.406	Rab39	0	0.605	0.826	0.222	118.0	36218.0	0.451	2.066	0.023	122.0	1.04	22.0	0.574	0.428	0.572	0.484
5.885	Ptrhd1	0	0.162	0.308	0.111	0.0	61.0	0.611	2.39	0.171	16.0	0.79	9.0	0.525	0.454	0.546	0.452
-0.661	Ptar1	0	0.408	0.58	0.107	32.0	34616.0	1.992	2.598	0.014	55.0	1.76	35.0	0.591	0.415	0.585	0.472
-4.97	Prss30	0	0.793	0.726	0.0	179.0	25292.0	0.175	2.181	0.071	914.0	0.04	9.0	0.506	0.482	0.518	0.466
-0.586	Prrg3	0	0.612	0.726	0.127	99.0	42035.0	1.001	1.797	0.043	364.0	0.89	11.0	0.531	0.462	0.538	0.524
-9.831	Prr27	0	1.0	0.0	0.0	220.0	17604.0	1.112	3.408	0.142	624.0	0.2	11.0	0.623	0.37	0.63	0.395
-1.796	Ppp6r2	0	0.389	0.266	0.08	411.0	15104.0	1.937	3.862	0.047	1616.0	1.33	65.0	0.546	0.45	0.55	0.521
2.719	Poglut2	0	0.0	0.0	0.0	310.0	16370.0	0.325	3.003	0.109	287.0	1.79	9.0	0.605	0.381	0.619	0.464
-0.199	Pigk	0	0.158	0.313	0.082	16.0	45759.0	0.547	3.157	0.002	187.0	1.77	308.0	0.547	0.452	0.548	0.473
-2.22	Phactr2	0	0.381	0.372	0.106	135.0	281244.0	1.188	3.655	0.003	1106.0	1.78	195.0	0.577	0.422	0.578	0.525
-7.99	Pcare	0	0.0	0.0	0.0	215.0	79634.0	0.756	1.951	0.048	76.0	0.12	18.0	0.48	0.482	0.518	0.511
-4.54	Oxgr1	0	0.974	0.416	0.0	527.0	904095.0	0.747	2.084	0.021	514.0	0.08	16.0	0.573	0.423	0.577	0.44
3.602	Osgepl1	0	0.237	0.439	0.103	260.0	16513.0	0.513	1.679	0.098	356.0	1.02	8.0	0.624	0.367	0.633	0.392
7.811	Nxt1	0	0.326	0.418	0.11	432.0	229037.0	0.118	1.926	0.095	868.0	0.21	6.0	0.53	0.441	0.559	0.473
-6.662	Nwd1	0	0.85	0.771	0.0	243.0	47482.0	1.617	1.826	0.007	430.0	0.61	41.0	0.523	0.471	0.529	0.487
-5.847	Nutm2	0	1.0	0.0	0.0	95.0	23394.0	0.358	1.929	0.042	57.0	-0.05	6.0	0.506	0.485	0.515	0.456
3.997	Nol11	0	0.221	0.454	0.128	125.0	57254.0	2.093	2.164	0.089	736.0	1.01	22.0	0.571	0.427	0.573	0.465
-2.747	Nobox	0	0.839	0.584	0.0	29.0	43973.0	0.252	1.841	0.08	103.0	0.32	5.0	0.508	0.476	0.524	0.496
2.327	Mtx3	0	0.283	0.391	0.082	0.0	49968.0	1.053	1.973	0.046	26.0	1.88	17.0	0.575	0.427	0.573	0.416
0.242	Mterf1b	0	0.496	0.0	0.0	79.0	87620.0	0.163	3.197	0.1	102.0	0.12	6.0	0.599	0.4	0.6	0.418
4.376	Mtarc2	0	0.0	0.0	0.0	65.0	34568.0	0.293	2.542	0.022	134.0	0.8	47.0	0.523	0.476	0.524	0.503
1.048	Msantd3	0	0.393	0.528	0.074	98.0	66475.0	0.28	3.57	0.021	512.0	1.04	38.0	0.529	0.468	0.532	0.521
6.004	Mrpl50	0	0.24	0.419	0.044	41.0	14536.0	0.334	2.327	0.11	45.0	0.13	11.0	0.593	0.401	0.599	0.452
-2.747	Mpig6b	0	0.0	0.0	0.0	15.0	797.0	0.387	2.405	0.317	37.0	0.43	9.0	0.472	0.551	0.449	0.537
1.831	Mfsd14b	0	0.265	0.0	0.0	359.0	60215.0	0.797	2.375	0.011	812.0	2.07	26.0	0.62	0.376	0.624	0.44
3.242	Mex3c	0	0.356	0.364	0.074	0.0	1221974.0	0.815	4.083	0.036	142.0	1.68	18.0	0.593	0.394	0.606	0.583
2.144	Metap1d	0	0.221	0.344	0.114	84.0	64318.0	0.231	1.993	0.005	1563.0	2.09	81.0	0.563	0.435	0.565	0.444
-0.156	Mcm10	0	0.473	0.704	0.105	532.0	36223.0	0.685	2.554	0.018	447.0	1.05	26.0	0.536	0.458	0.542	0.453
3.259	Manbal	0	0.175	0.223	0.126	105.0	20087.0	0.209	2.067	0.018	145.0	0.46	35.0	0.515	0.482	0.518	0.463
6.017	Mak16	0	0.251	0.464	0.077	86.0	18449.0	0.41	2.275	0.048	106.0	2.09	17.0	0.565	0.434	0.566	0.479
0.666	Lyrm1	0	0.282	0.592	0.127	31.0	115.0	1.76	2.329	0.018	1061.0	1.19	38.0	0.57	0.428	0.572	0.486
-0.787	Lyplal1	0	0.416	0.536	0.101	61.0	662463.0	0.289	2.081	0.025	122.0	1.1	30.0	0.59	0.408	0.592	0.457
3.102	Lsm14b	0	0.238	0.24	0.124	200.0	48340.0	0.443	2.041	0.029	927.0	1.52	26.0	0.485	0.511	0.489	0.57
4.836	Lrrc47	0	0.178	0.356	0.133	20.0	36537.0	0.878	2.127	0.055	2.0	1.29	25.0	0.448	0.534	0.466	0.548
1.086	Lpcat1	0	0.536	0.462	0.091	187.0	138654.0	2.49	2.767	0.042	278.0	1.69	53.0	0.517	0.48	0.52	0.52
0.821	Lonp2	0	0.219	0.367	0.087	141.0	43387.0	0.924	1.913	0.005	283.0	2.15	79.0	0.58	0.419	0.581	0.462
-4.144	Lmln	0	0.395	0.613	0.095	29.0	6068.0	1.005	2.005	0.006	4.0	1.83	79.0	0.557	0.438	0.562	0.5
2.264	Lmbr1l	0	0.341	0.442	0.168	311.0	19691.0	0.39	3.04	0.044	150.0	2.14	25.0	0.482	0.507	0.493	0.502
-4.156	Lexm	0	0.949	0.0	0.0	23.0	56204.0	0.221	3.132	0.023	31.0	0.49	34.0	0.525	0.471	0.529	0.518
-4.97	Klk15	0	0.967	0.177	0.0	32.0	52580.0	0.079	1.77	0.091	121.0	0.56	11.0	0.495	0.493	0.507	0.519
2.769	Klhl26	0	0.31	0.44	0.08	46.0	37371.0	0.616	2.323	0.014	238.0	1.01	34.0	0.472	0.521	0.479	0.541
1.976	Khnyn	0	0.234	0.303	0.141	145.0	624.0	1.194	1.978	0.056	90.0	1.05	20.0	0.509	0.46	0.54	0.581
-4.222	Kdm5d	0	0.801	0.301	0.0	129.0	79125.0	1.011	2.84	0.006	174.0	0.95	39.0	0.613	0.378	0.622	0.386
7.77	Jchain	0	0.744	0.0	0.0	113.0	39910.0	0.201	2.555	0.062	171.0	0.87	4.0	0.631	0.363	0.637	0.375
8.355	Ifi27	0	0.366	0.0	0.0	175.0	8392.0	0.181	2.6	0.074	1728.0	0.07	4.0	0.511	0.483	0.517	0.454
1.107	Hrob	0	0.47	0.684	0.128	209.0	18715.0	1.021	3.064	0.135	282.0	0.83	26.0	0.49	0.5	0.5	0.477
1.535	Hrct1	0	0.684	0.692	0.166	175.0	16932.0	0.142	2.705	0.128	366.0	0.0	4.0	0.44	0.0	0.0	0.539
-1.529	Hoatz	0	0.981	0.471	0.0	109.0	25012.0	0.346	2.89	0.098	197.0	0.57	16.0	0.596	0.403	0.597	0.495
4.155	Hikeshi	0	0.256	0.0	0.0	207.0	37575.0	0.484	1.961	0.027	2109.0	1.56	19.0	0.597	0.402	0.598	0.446
-2.747	Henmt1	0	0.915	0.839	0.0	474.0	28356.0	0.303	2.346	0.033	689.0	0.43	27.0	0.564	0.429	0.571	0.491
2.609	Helb	0	0.324	0.421	0.118	126.0	659158.0	1.08	2.983	0.015	45.0	0.66	54.0	0.543	0.451	0.549	0.47
-13.317	Gucy1b2	0	0.934	0.306	0.0	92.0	163242.0	0.408	2.497	0.01	154.0	1.13	43.0	0.551	0.447	0.553	0.461
-7.99	Gsdmc	0	0.989	0.32	0.0	291.0	1823369.0	0.274	2.681	0.009	210.0	-0.03	25.0	0.584	0.415	0.585	0.423
