symbol	Geneid	cardiomyocytes_probability	cardiomyocytes_distance	cardiomyocytes_p_value	cardiomyocytes_FDR	cardiomyocytes_rank	endothelial cells_probability	endothelial cells_distance	endothelial cells_p_value	endothelial cells_FDR	endothelial cells_rank	fibroblasts_probability	fibroblasts_distance	fibroblasts_p_value	fibroblasts_FDR	fibroblasts_rank	cardiomyocytes_exp	endothelial cells_exp	fibroblasts_exp
LCAT	ENSG00000213398	0.867	1.871	0.192	1.0	2880	0.963	3.26	0.012	0.133	1401	0.927	2.549	0.061	0.45	2115	1.616	4.394	2.975
ALDH1A2	ENSG00000128918	0.866	1.869	0.192	1.0	2881	0.933	2.635	0.051	0.406	1968	0.97	3.466	0.007	0.08	1334	-2.431	-0.455	1.321
CD163	ENSG00000177575	0.866	1.869	0.193	1.0	2882	0.947	2.888	0.029	0.27	1712	0.887	2.057	0.145	0.839	2717	0.811	2.949	1.462
LYSMD4	ENSG00000183060	0.866	1.867	0.193	1.0	2883	0.826	1.554	0.29	1.0	3448	0.91	2.313	0.095	0.623	2381	4.89	4.01	5.213
PPP3CB	ENSG00000107758	0.866	1.867	0.193	1.0	2884	0.782	1.277	0.391	1.0	4010	0.601	0.41	0.722	1.0	5849	3.066	1.833	0.396
PIK3C3	ENSG00000078142	0.866	1.866	0.193	1.0	2885	0.854	1.768	0.221	1.0	3122	0.833	1.604	0.273	1.0	3431	1.107	1.032	0.913
TCF24	ENSG00000261787	0.866	1.866	0.193	1.0	2886	0.017	-4.048	1.0	1.0	14862	0.048	-2.986	1.0	1.0	13781	1.554	-9.921	-6.795
LAMA2	ENSG00000196569	0.866	1.864	0.194	1.0	2887	0.622	0.499	0.692	1.0	5733	0.944	2.833	0.033	0.286	1830	0.801	-1.716	2.829
CITED1	ENSG00000125931	0.866	1.862	0.194	1.0	2888	0.906	2.265	0.103	0.664	2428	0.47	-0.12	0.869	1.0	7170	-4.686	-3.19	-6.795
CITED4	ENSG00000179862	0.865	1.859	0.195	1.0	2889	0.67	0.707	0.615	1.0	5217	0.725	0.967	0.513	1.0	4583	5.303	2.743	3.195
BIN1	ENSG00000136717	0.865	1.858	0.196	1.0	2890	0.649	0.616	0.649	1.0	5440	0.885	2.042	0.149	0.852	2740	2.414	-0.027	2.751
PIK3CA	ENSG00000121879	0.865	1.856	0.196	1.0	2891	0.884	2.03	0.152	0.872	2725	0.852	1.747	0.228	1.0	3195	1.525	1.937	1.518
IK	ENSG00000113141	0.865	1.856	0.196	1.0	2892	0.913	2.355	0.088	0.597	2305	0.941	2.775	0.038	0.316	1886	9.517	9.748	9.781
PIK3CG	ENSG00000105851	0.865	1.856	0.196	1.0	2893	0.944	2.819	0.034	0.301	1795	0.818	1.505	0.307	1.0	3575	-3.702	-1.213	-3.132
CCDC196	ENSG00000196553	0.865	1.855	0.196	1.0	2894	0.352	-0.61	0.946	1.0	8586	0.611	0.452	0.708	1.0	5756	-5.943	-9.921	-6.795
CUTA	ENSG00000112514	0.865	1.855	0.196	1.0	2895	0.889	2.081	0.14	0.825	2657	0.932	2.617	0.053	0.406	2045	9.529	9.228	9.517
ATP13A3	ENSG00000133657	0.865	1.855	0.196	1.0	2896	0.854	1.77	0.221	1.0	3117	0.827	1.566	0.286	1.0	3489	3.883	3.549	3.106
ADIRF	ENSG00000148671	0.865	1.855	0.196	1.0	2897	0.987	4.338	0.0	0.009	735	0.972	3.536	0.006	0.068	1287	3.01	7.781	5.864
FAM229B	ENSG00000203778	0.865	1.854	0.196	1.0	2898	0.785	1.297	0.383	1.0	3961	0.847	1.708	0.239	1.0	3251	6.05	4.574	5.11
CLIC1	ENSG00000213719	0.864	1.853	0.197	1.0	2899	0.964	3.277	0.011	0.129	1387	0.965	3.307	0.011	0.115	1438	4.886	7.398	6.981
SYVN1	ENSG00000162298	0.864	1.853	0.197	1.0	2900	0.921	2.452	0.073	0.526	2182	0.847	1.707	0.24	1.0	3255	3.185	4.259	2.794
OSBPL6	ENSG00000079156	0.864	1.852	0.197	1.0	2901	0.447	-0.212	0.887	1.0	7506	0.62	0.49	0.695	1.0	5655	-0.333	-4.098	-2.186
UGP2	ENSG00000169764	0.864	1.851	0.197	1.0	2902	0.766	1.185	0.427	1.0	4199	0.84	1.656	0.256	1.0	3340	6.01	4.325	4.99
SPOP	ENSG00000121067	0.864	1.851	0.197	1.0	2903	0.867	1.878	0.19	1.0	2938	0.892	2.107	0.134	0.793	2650	3.076	3.046	3.415
TSKU	ENSG00000182704	0.864	1.851	0.198	1.0	2904	0.935	2.671	0.047	0.384	1935	0.985	4.166	0.001	0.013	922	1.23	2.936	5.541
PDXDC1	ENSG00000179889	0.864	1.849	0.198	1.0	2905	0.769	1.203	0.419	1.0	4156	0.8	1.386	0.35	1.0	3761	3.091	1.744	2.16
EDIL3	ENSG00000164176	0.864	1.849	0.198	1.0	2906	0.602	0.413	0.721	1.0	5931	0.875	1.943	0.173	0.938	2891	-1.544	-3.96	-0.606
VSX1	ENSG00000100987	0.864	1.849	0.198	1.0	2907	0.165	-1.62	0.996	1.0	11179	0.918	2.42	0.078	0.54	2261	-3.763	-9.921	-1.56
BEST1	ENSG00000167995	0.864	1.848	0.198	1.0	2908	0.64	0.577	0.664	1.0	5535	0.898	2.174	0.12	0.738	2553	4.462	1.755	4.656
CABP7	ENSG00000100314	0.864	1.848	0.198	1.0	2909	0.809	1.44	0.33	1.0	3672	0.651	0.623	0.647	1.0	5354	-0.949	-1.416	-2.442
PNMA8A	ENSG00000182013	0.864	1.847	0.199	1.0	2910	0.667	0.693	0.621	1.0	5256	0.838	1.64	0.261	1.0	3375	4.8	2.288	3.993
TACR2	ENSG00000075073	0.864	1.846	0.199	1.0	2911	0.922	2.469	0.071	0.517	2152	0.941	2.766	0.039	0.319	1899	-1.571	0.036	0.825
MON2	ENSG00000061987	0.864	1.846	0.199	1.0	2912	0.914	2.358	0.087	0.595	2297	0.891	2.103	0.135	0.797	2655	0.4	1.588	1.252
ARAP2	ENSG00000047365	0.864	1.845	0.199	1.0	2913	0.965	3.32	0.01	0.118	1351	0.922	2.469	0.071	0.503	2213	-4.123	-0.593	-1.758
DENND4C	ENSG00000137145	0.864	1.845	0.199	1.0	2914	0.865	1.855	0.196	1.0	2984	0.844	1.685	0.247	1.0	3292	1.134	1.267	1.114
UPB1	ENSG00000100024	0.864	1.845	0.199	1.0	2915	0.891	2.104	0.135	0.805	2625	0.68	0.754	0.597	1.0	5037	-0.731	0.08	-2.031
XPO1	ENSG00000082898	0.864	1.845	0.199	1.0	2916	0.853	1.755	0.225	1.0	3151	0.794	1.35	0.363	1.0	3824	4.853	4.413	3.529
ATP5PB	ENSG00000116459	0.863	1.843	0.2	1.0	2917	0.78	1.267	0.395	1.0	4025	0.886	2.051	0.147	0.843	2728	8.608	6.834	7.801
GOLGA6L9	ENSG00000197978	0.863	1.842	0.2	1.0	2918	0.918	2.416	0.078	0.551	2228	0.84	1.657	0.256	1.0	3339	0.394	1.704	0.468
ADCY4	ENSG00000129467	0.863	1.84	0.2	1.0	2919	0.989	4.54	0.0	0.005	644	0.931	2.597	0.055	0.418	2069	0.692	6.122	2.364
GP2	ENSG00000169347	0.863	1.84	0.2	1.0	2920	0.871	1.906	0.182	0.987	2899	0.494	-0.026	0.847	1.0	6944	-4.94	-4.078	-6.795
RNF208	ENSG00000212864	0.863	1.84	0.2	1.0	2921	0.598	0.398	0.726	1.0	5971	0.736	1.027	0.489	1.0	4457	5.101	1.995	3.17
TSPAN6	ENSG00000000003	0.863	1.838	0.201	1.0	2922	0.927	2.549	0.061	0.462	2060	0.856	1.78	0.218	1.0	3144	3.191	4.483	2.955
KLHL10	ENSG00000161594	0.863	1.838	0.201	1.0	2923	0.228	-1.218	0.987	1.0	10209	0.461	-0.157	0.876	1.0	7267	-4.66	-9.921	-6.795
DICER1	ENSG00000100697	0.863	1.837	0.201	1.0	2924	0.887	2.063	0.144	0.843	2675	0.917	2.398	0.081	0.556	2288	2.753	3.144	3.686
ADAM9	ENSG00000168615	0.863	1.837	0.201	1.0	2925	0.778	1.252	0.401	1.0	4059	0.834	1.617	0.269	1.0	3402	2.284	1.138	1.935
PCYOX1L	ENSG00000145882	0.863	1.837	0.201	1.0	2926	0.857	1.79	0.215	1.0	3077	0.51	0.038	0.832	1.0	6763	2.97	2.804	-0.285
FH	ENSG00000091483	0.863	1.837	0.201	1.0	2927	0.621	0.493	0.694	1.0	5748	0.74	1.047	0.481	1.0	4408	6.185	3.16	4.086
DUSP3	ENSG00000108861	0.862	1.836	0.202	1.0	2928	0.628	0.525	0.683	1.0	5655	0.791	1.331	0.37	1.0	3854	7.486	4.392	5.639
CDIP1	ENSG00000089486	0.862	1.836	0.202	1.0	2929	0.857	1.788	0.215	1.0	3080	0.787	1.309	0.379	1.0	3897	5.606	5.17	4.081
ZMYM4	ENSG00000146463	0.862	1.835	0.202	1.0	2930	0.815	1.481	0.315	1.0	3583	0.83	1.589	0.278	1.0	3450	1.552	0.932	1.299
HIF1A	ENSG00000100644	0.862	1.835	0.202	1.0	2931	0.843	1.684	0.247	1.0	3258	0.854	1.765	0.222	1.0	3169	3.62	3.187	3.283
ARSA	ENSG00000100299	0.862	1.835	0.202	1.0	2932	0.842	1.672	0.251	1.0	3280	0.843	1.682	0.248	1.0	3301	5.484	4.837	4.64
VCPIP1	ENSG00000175073	0.862	1.834	0.202	1.0	2933	0.813	1.467	0.32	1.0	3611	0.832	1.6	0.274	1.0	3435	2.831	2.054	2.353
GSTA4	ENSG00000170899	0.862	1.833	0.202	1.0	2934	0.868	1.885	0.188	1.0	2927	0.883	2.024	0.153	0.869	2760	3.66	3.617	3.769
COL9A1	ENSG00000112280	0.862	1.832	0.203	1.0	2935	0.628	0.522	0.684	1.0	5661	0.702	0.855	0.558	1.0	4819	-0.78	-3.027	-1.872
ROGDI	ENSG00000067836	0.862	1.832	0.203	1.0	2936	0.553	0.211	0.785	1.0	6434	0.728	0.984	0.506	1.0	4542	5.731	2.212	3.618
CDH10	ENSG00000040731	0.862	1.831	0.203	1.0	2937	0.339	-0.67	0.953	1.0	8748	0.859	1.811	0.209	1.0	3098	-5.867	-9.921	-4.3
EMILIN2	ENSG00000132205	0.862	1.83	0.203	1.0	2938	0.783	1.286	0.388	1.0	3990	0.812	1.465	0.321	1.0	3642	0.253	-0.607	0.04
CTSK	ENSG00000143387	0.862	1.83	0.203	1.0	2939	0.967	3.384	0.009	0.103	1299	0.99	4.549	0.0	0.004	736	-0.332	2.965	4.986
SYT1	ENSG00000067715	0.862	1.829	0.204	1.0	2940	0.944	2.816	0.035	0.303	1797	0.982	3.985	0.001	0.022	998	-10.872	-7.604	-4.519
LRBA	ENSG00000198589	0.861	1.827	0.204	1.0	2941	0.724	0.962	0.515	1.0	4663	0.665	0.688	0.623	1.0	5191	-0.249	-1.684	-1.731
APOM	ENSG00000204444	0.861	1.826	0.204	1.0	2942	0.78	1.263	0.396	1.0	4031	0.923	2.488	0.068	0.489	2193	2.215	1.122	3.432
PCDHB12	ENSG00000120328	0.861	1.826	0.204	1.0	2943	0.957	3.114	0.017	0.179	1513	0.858	1.802	0.211	1.0	3112	-0.642	2.167	-0.084
FRMD4B	ENSG00000114541	0.861	1.825	0.205	1.0	2944	0.843	1.683	0.247	1.0	3262	0.822	1.528	0.299	1.0	3536	1.364	1.177	1.057
SH3BP2	ENSG00000087266	0.861	1.825	0.205	1.0	2945	0.954	3.027	0.021	0.211	1584	0.925	2.519	0.064	0.468	2160	1.132	3.594	2.613
FRMD3	ENSG00000172159	0.861	1.824	0.205	1.0	2946	0.848	1.72	0.236	1.0	3205	0.717	0.928	0.529	1.0	4675	1.455	1.334	0.078
NRARP	ENSG00000198435	0.861	1.824	0.205	1.0	2947	0.936	2.681	0.046	0.377	1929	0.762	1.166	0.434	1.0	4173	5.545	6.883	3.801
ARVCF	ENSG00000099889	0.861	1.821	0.206	1.0	2948	0.6	0.403	0.725	1.0	5952	0.448	-0.208	0.887	1.0	7395	0.403	-2.175	-2.762
RAPSN	ENSG00000165917	0.861	1.821	0.206	1.0	2949	0.06	-2.747	1.0	1.0	13424	0.156	-1.685	0.996	1.0	11226	-1.373	-9.921	-6.795
EIF4E3	ENSG00000163412	0.861	1.82	0.206	1.0	2950	0.733	1.01	0.496	1.0	4561	0.778	1.252	0.401	1.0	4007	3.139	1.467	2.016
PTPN21	ENSG00000070778	0.861	1.82	0.206	1.0	2951	0.756	1.13	0.448	1.0	4307	0.751	1.105	0.458	1.0	4292	2.317	0.962	1.092
ADNP2	ENSG00000101544	0.861	1.82	0.206	1.0	2952	0.714	0.913	0.535	1.0	4763	0.883	2.021	0.154	0.871	2765	2.744	0.922	3.05
MYT1L	ENSG00000186487	0.861	1.82	0.206	1.0	2953	0.902	2.216	0.112	0.704	2494	0.959	3.142	0.016	0.161	1565	-8.937	-7.02	-4.421
GNG8	ENSG00000167414	0.861	1.82	0.206	1.0	2954	0.67	0.708	0.615	1.0	5210	0.559	0.235	0.778	1.0	6248	7.145	4.477	3.467
SEMA5A	ENSG00000112902	0.861	1.82	0.206	1.0	2955	0.466	-0.136	0.872	1.0	7299	0.628	0.526	0.682	1.0	5568	-0.479	-4.018	-2.183
PTPRM	ENSG00000173482	0.86	1.819	0.206	1.0	2956	0.913	2.354	0.088	0.597	2308	0.8	1.389	0.349	1.0	3755	-1.231	0.168	-1.273
FAM50B	ENSG00000145945	0.86	1.819	0.206	1.0	2957	0.781	1.274	0.392	1.0	4017	0.848	1.72	0.236	1.0	3234	6.418	4.927	5.489
MCHR1	ENSG00000128285	0.86	1.819	0.206	1.0	2958	0.812	1.464	0.321	1.0	3620	0.12	-1.989	0.999	1.0	11917	-0.716	-1.106	-6.795
MEF2D	ENSG00000116604	0.86	1.818	0.207	1.0	2959	0.738	1.037	0.485	1.0	4502	0.807	1.43	0.334	1.0	3691	3.094	1.484	2.295
TES	ENSG00000135269	0.86	1.818	0.207	1.0	2960	0.948	2.894	0.029	0.268	1704	0.91	2.316	0.094	0.621	2374	2.261	4.361	3.18
ARHGAP30	ENSG00000186517	0.86	1.818	0.207	1.0	2961	0.911	2.327	0.092	0.616	2348	0.797	1.366	0.357	1.0	3786	-2.007	-0.579	-1.941
NDN	ENSG00000182636	0.86	1.817	0.207	1.0	2962	0.748	1.088	0.465	1.0	4401	0.915	2.382	0.083	0.568	2304	7.334	5.393	7.398
CBFA2T2	ENSG00000078699	0.86	1.817	0.207	1.0	2963	0.874	1.941	0.173	0.958	2840	0.854	1.764	0.222	1.0	3171	0.084	0.549	0.454
ORMDL3	ENSG00000172057	0.86	1.816	0.207	1.0	2964	0.885	2.044	0.148	0.86	2702	0.887	2.058	0.145	0.837	2714	5.407	5.531	5.274
NEK10	ENSG00000163491	0.86	1.814	0.208	1.0	2965	0.176	-1.541	0.994	1.0	10983	0.452	-0.192	0.883	1.0	7351	-0.749	-6.994	-3.654
NUPR1	ENSG00000176046	0.86	1.813	0.208	1.0	2966	0.899	2.184	0.118	0.733	2528	0.963	3.259	0.012	0.127	1475	5.049	5.488	7.1
FOLR1	ENSG00000110195	0.86	1.813	0.208	1.0	2967	0.048	-2.977	1.0	1.0	13750	0.128	-1.916	0.998	1.0	11765	-0.89	-9.921	-6.795
CIRBP	ENSG00000099622	0.86	1.812	0.208	1.0	2968	0.877	1.968	0.167	0.933	2800	0.907	2.272	0.102	0.657	2428	8.571	8.23	8.212
CLDN23	ENSG00000253958	0.86	1.812	0.208	1.0	2969	0.926	2.528	0.063	0.475	2086	0.249	-1.101	0.982	1.0	9684	-2.662	-0.762	-6.795
SLC25A3	ENSG00000075415	0.859	1.81	0.209	1.0	2970	0.742	1.058	0.477	1.0	4459	0.845	1.698	0.242	1.0	3272	9.483	7.276	7.946
SPESP1	ENSG00000258484	0.859	1.81	0.209	1.0	2971	0.587	0.35	0.742	1.0	6098	0.669	0.706	0.616	1.0	5155	2.158	-0.683	0.282
CACNA2D3	ENSG00000157445	0.859	1.81	0.209	1.0	2972	0.238	-1.163	0.985	1.0	10062	0.639	0.57	0.666	1.0	5467	-1.532	-6.949	-2.939
KBTBD12	ENSG00000187715	0.859	1.809	0.209	1.0	2973	0.024	-3.725	1.0	1.0	14621	0.592	0.373	0.735	1.0	5944	0.731	-9.921	-1.456
CLU	ENSG00000120885	0.859	1.809	0.209	1.0	2974	0.979	3.841	0.002	0.036	986	0.975	3.669	0.004	0.05	1185	4.962	8.654	7.756
ALOX12	ENSG00000108839	0.859	1.808	0.21	1.0	2975	0.416	-0.337	0.909	1.0	7850	0.08	-2.443	1.0	1.0	12866	0.248	-3.736	-6.795
MSI1	ENSG00000135097	0.859	1.808	0.21	1.0	2976	0.629	0.528	0.682	1.0	5648	0.502	0.009	0.839	1.0	6845	0.094	-2.184	-2.609
RGMB	ENSG00000174136	0.859	1.807	0.21	1.0	2977	0.755	1.126	0.45	1.0	4315	0.862	1.831	0.203	1.0	3065	2.488	1.134	2.53
CBX5	ENSG00000094916	0.859	1.807	0.21	1.0	2978	0.795	1.356	0.361	1.0	3846	0.904	2.24	0.107	0.682	2471	4.996	3.835	5.276
ABCF3	ENSG00000161204	0.859	1.807	0.21	1.0	2979	0.84	1.657	0.256	1.0	3305	0.761	1.155	0.438	1.0	4192	3.562	3.136	2.21
TCHP	ENSG00000139437	0.859	1.806	0.21	1.0	2980	0.911	2.323	0.093	0.62	2350	0.929	2.571	0.058	0.434	2096	5.426	6.111	6.205
MOCS3	ENSG00000124217	0.859	1.806	0.21	1.0	2981	0.55	0.202	0.787	1.0	6462	0.773	1.227	0.41	1.0	4057	2.463	-0.689	1.45
PDK1	ENSG00000152256	0.859	1.806	0.21	1.0	2982	0.596	0.388	0.73	1.0	5995	0.732	1.003	0.499	1.0	4500	3.055	0.204	1.534
OCIAD2	ENSG00000145247	0.859	1.805	0.21	1.0	2983	0.947	2.885	0.03	0.271	1720	0.834	1.612	0.27	1.0	3413	4.496	6.373	3.771
TET3	ENSG00000187605	0.859	1.804	0.211	1.0	2984	0.89	2.09	0.138	0.817	2647	0.763	1.172	0.432	1.0	4165	-3.445	-2.306	-3.416
IPO4	ENSG00000196497	0.859	1.804	0.211	1.0	2985	0.903	2.229	0.109	0.694	2474	0.914	2.361	0.087	0.585	2323	0.852	1.825	2.144
BAIAP3	ENSG00000007516	0.859	1.804	0.211	1.0	2986	0.906	2.271	0.102	0.66	2421	0.853	1.761	0.223	1.0	3173	-0.162	0.996	0.271
ILF3	ENSG00000129351	0.859	1.804	0.211	1.0	2987	0.839	1.652	0.257	1.0	3312	0.882	2.01	0.156	0.879	2787	4.455	3.932	4.441
CCDC194	ENSG00000269720	0.859	1.803	0.211	1.0	2988	0.988	4.391	0.0	0.008	718	0.089	-2.322	1.0	1.0	12603	-0.023	5.262	-6.795
CES3	ENSG00000172828	0.858	1.801	0.211	1.0	2989	0.049	-2.976	1.0	1.0	13747	0.128	-1.914	0.998	1.0	11762	-0.917	-9.921	-6.795
MYO18A	ENSG00000196535	0.858	1.801	0.212	1.0	2990	0.62	0.489	0.695	1.0	5754	0.605	0.426	0.717	1.0	5813	2.454	-0.127	0.044
B3GNT4	ENSG00000176383	0.858	1.801	0.212	1.0	2991	0.796	1.361	0.359	1.0	3836	0.088	-2.34	1.0	1.0	12639	0.009	-0.622	-6.795
VWF	ENSG00000110799	0.858	1.8	0.212	1.0	2992	0.986	4.277	0.001	0.011	758	0.884	2.034	0.151	0.86	2747	1.205	6.151	1.862
NLGN3	ENSG00000196338	0.858	1.799	0.212	1.0	2993	0.871	1.908	0.182	0.985	2894	0.679	0.748	0.599	1.0	5053	-6.715	-5.586	-6.795
HSD17B8	ENSG00000204228	0.858	1.798	0.212	1.0	2994	0.821	1.521	0.301	1.0	3511	0.816	1.486	0.313	1.0	3611	7.103	6.067	5.669
CHD7	ENSG00000171316	0.858	1.797	0.213	1.0	2995	0.801	1.39	0.348	1.0	3774	0.651	0.623	0.647	1.0	5353	1.389	0.684	-0.462
ADGRG3	ENSG00000182885	0.858	1.796	0.213	1.0	2996	0.959	3.152	0.016	0.167	1476	0.242	-1.142	0.984	1.0	9813	-2.607	0.537	-6.795
ADAR	ENSG00000160710	0.858	1.795	0.213	1.0	2997	0.951	2.973	0.024	0.233	1633	0.922	2.471	0.071	0.502	2208	2.955	5.183	4.053
TM6SF2	ENSG00000213996	0.857	1.792	0.214	1.0	2998	0.103	-2.16	0.999	1.0	12336	0.931	2.596	0.055	0.419	2070	-2.71	-9.921	-0.303
AGBL5	ENSG00000084693	0.857	1.791	0.214	1.0	2999	0.661	0.666	0.631	1.0	5318	0.61	0.446	0.71	1.0	5763	2.252	0.055	-0.066
CLEC2D	ENSG00000069493	0.857	1.791	0.215	1.0	3000	0.845	1.699	0.242	1.0	3232	0.764	1.177	0.43	1.0	4154	2.227	2.052	1.199
ATG16L2	ENSG00000168010	0.857	1.79	0.215	1.0	3001	0.947	2.876	0.03	0.275	1731	0.79	1.327	0.372	1.0	3863	2.051	4.191	1.318
EVI2B	ENSG00000185862	0.857	1.79	0.215	1.0	3002	0.833	1.607	0.272	1.0	3369	0.046	-3.039	1.0	1.0	13850	1.505	1.225	-6.795
LAMTOR2	ENSG00000116586	0.857	1.79	0.215	1.0	3003	0.898	2.17	0.121	0.747	2538	0.949	2.927	0.027	0.243	1741	9.654	9.64	10.277
ZBTB4	ENSG00000174282	0.857	1.789	0.215	1.0	3004	0.823	1.535	0.296	1.0	3492	0.782	1.276	0.391	1.0	3959	4.953	4.18	3.578
AQP5	ENSG00000161798	0.857	1.789	0.215	1.0	3005	0.948	2.904	0.028	0.263	1695	0.972	3.552	0.005	0.066	1272	-3.804	-1.008	0.501
AGO4	ENSG00000134698	0.857	1.788	0.215	1.0	3006	0.846	1.704	0.241	1.0	3225	0.757	1.137	0.446	1.0	4235	2.434	2.252	1.301
C4orf48	ENSG00000243449	0.857	1.788	0.215	1.0	3007	0.938	2.708	0.044	0.361	1900	0.969	3.441	0.007	0.085	1346	5.685	7.132	7.978
PVALB	ENSG00000100362	0.856	1.783	0.217	1.0	3008	0.845	1.7	0.242	1.0	3230	0.276	-0.964	0.975	1.0	9344	-3.024	-2.647	-6.795
IRF2BP2	ENSG00000168264	0.856	1.782	0.217	1.0	3009	0.907	2.276	0.101	0.656	2413	0.931	2.595	0.055	0.419	2072	6.924	7.412	7.5
F10	ENSG00000126218	0.856	1.782	0.217	1.0	3010	0.464	-0.145	0.874	1.0	7320	0.91	2.308	0.095	0.627	2384	2.024	-1.715	3.037
GYPC	ENSG00000136732	0.856	1.78	0.218	1.0	3011	0.907	2.282	0.1	0.651	2406	0.838	1.642	0.26	1.0	3369	2.112	3.108	1.944
LHFPL5	ENSG00000197753	0.856	1.779	0.218	1.0	3012	0.687	0.785	0.585	1.0	5038	0.271	-0.989	0.977	1.0	9406	-2.976	-4.384	-6.795
BCL6	ENSG00000113916	0.856	1.779	0.218	1.0	3013	0.74	1.047	0.481	1.0	4483	0.864	1.846	0.199	1.0	3037	5.4	3.651	4.96
SMC4	ENSG00000113810	0.855	1.778	0.218	1.0	3014	0.865	1.854	0.196	1.0	2985	0.925	2.513	0.065	0.472	2165	3.778	3.771	4.823
RPS16	ENSG00000105193	0.855	1.777	0.219	1.0	3015	0.893	2.118	0.132	0.794	2600	0.918	2.414	0.079	0.544	2266	11.252	11.001	10.69
SERTAD1	ENSG00000197019	0.855	1.776	0.219	1.0	3016	0.859	1.803	0.211	1.0	3060	0.87	1.905	0.183	0.976	2935	7.099	6.657	6.441
COLEC10	ENSG00000184374	0.855	1.776	0.219	1.0	3017	0.061	-2.742	1.0	1.0	13415	0.157	-1.681	0.996	1.0	11213	-1.48	-9.921	-6.795
GPR62	ENSG00000180929	0.855	1.774	0.219	1.0	3018	0.098	-2.221	0.999	1.0	12460	0.239	-1.159	0.985	1.0	9876	-2.618	-9.921	-6.795
HTR3A	ENSG00000166736	0.855	1.774	0.219	1.0	3019	0.1	-2.194	0.999	1.0	12403	0.244	-1.133	0.984	1.0	9793	-2.675	-9.921	-6.795
SLC7A6	ENSG00000103064	0.855	1.774	0.22	1.0	3020	0.83	1.588	0.278	1.0	3395	0.847	1.708	0.24	1.0	3254	2.381	2.003	2.286
PAXIP1	ENSG00000157212	0.855	1.774	0.22	1.0	3021	0.825	1.548	0.292	1.0	3457	0.81	1.451	0.326	1.0	3662	0.306	0.065	0.157
GLS	ENSG00000115419	0.855	1.773	0.22	1.0	3022	0.892	2.111	0.133	0.799	2614	0.877	1.968	0.167	0.918	2844	2.646	3.266	2.959
ARIH1	ENSG00000166233	0.855	1.771	0.22	1.0	3023	0.783	1.285	0.388	1.0	3992	0.767	1.19	0.425	1.0	4133	2.01	1.085	1.078
ERC2	ENSG00000187672	0.855	1.77	0.221	1.0	3024	0.722	0.955	0.518	1.0	4677	0.814	1.479	0.316	1.0	3618	-5.52	-6.318	-4.496
KLHL29	ENSG00000119771	0.854	1.77	0.221	1.0	3025	0.919	2.423	0.077	0.546	2219	0.846	1.707	0.24	1.0	3256	-1.225	0.406	-0.624
HACE1	ENSG00000085382	0.854	1.77	0.221	1.0	3026	0.927	2.54	0.062	0.468	2072	0.869	1.891	0.187	0.989	2958	0.16	1.877	0.818
SERPIND1	ENSG00000099937	0.854	1.769	0.221	1.0	3027	0.867	1.872	0.192	1.0	2949	0.918	2.413	0.079	0.545	2271	-0.587	-0.096	1.134
ARHGAP27	ENSG00000159314	0.854	1.768	0.221	1.0	3028	0.941	2.763	0.039	0.331	1848	0.725	0.968	0.513	1.0	4578	1.128	3.186	-0.017
GALR3	ENSG00000128310	0.854	1.767	0.222	1.0	3029	0.097	-2.234	0.999	1.0	12483	0.236	-1.173	0.985	1.0	9909	-2.604	-9.921	-6.795
SLA	ENSG00000155926	0.854	1.767	0.222	1.0	3030	0.903	2.235	0.108	0.691	2460	0.511	0.043	0.831	1.0	6750	-1.727	-0.405	-3.948
DMBT1	ENSG00000187908	0.854	1.767	0.222	1.0	3031	0.96	3.169	0.015	0.161	1461	0.905	2.251	0.106	0.673	2459	-10.049	-6.058	-6.795
RNF181	ENSG00000168894	0.854	1.766	0.222	1.0	3032	0.915	2.379	0.084	0.579	2274	0.941	2.769	0.038	0.318	1896	9.724	10.158	10.098
RPS29	ENSG00000213741	0.854	1.766	0.222	1.0	3033	0.85	1.738	0.23	1.0	3180	0.876	1.951	0.171	0.932	2873	8.18	7.521	7.414
PRKAR1A	ENSG00000108946	0.854	1.765	0.222	1.0	3034	0.75	1.098	0.461	1.0	4380	0.842	1.673	0.251	1.0	3315	8.064	6.169	6.832
DIO2	ENSG00000211448	0.854	1.765	0.222	1.0	3035	0.903	2.234	0.109	0.692	2462	0.988	4.39	0.0	0.007	815	-2.357	-0.971	3.186
ZNF700	ENSG00000196757	0.854	1.765	0.222	1.0	3036	0.922	2.464	0.072	0.519	2162	0.803	1.405	0.343	1.0	3729	3.265	4.524	2.484
LLGL2	ENSG00000073350	0.854	1.765	0.222	1.0	3037	0.906	2.271	0.102	0.66	2419	0.856	1.781	0.217	1.0	3142	-0.943	0.371	-0.256
CYTH4	ENSG00000100055	0.854	1.763	0.223	1.0	3038	0.565	0.261	0.77	1.0	6330	0.625	0.509	0.688	1.0	5607	-1.357	-3.922	-2.826
ANKRD37	ENSG00000186352	0.853	1.762	0.223	1.0	3039	0.866	1.862	0.194	1.0	2970	0.904	2.244	0.107	0.678	2468	3.769	3.809	4.369
SLC12A6	ENSG00000140199	0.853	1.761	0.223	1.0	3040	0.902	2.215	0.112	0.705	2496	0.84	1.662	0.254	1.0	3334	0.173	1.271	0.441
KDR	ENSG00000128052	0.853	1.761	0.223	1.0	3041	0.99	4.633	0.0	0.004	611	0.921	2.458	0.072	0.509	2228	-0.023	5.817	1.683
